sample,analysis_type_uid,PC1,PC2,PC3
G3b-G3al-G3ay-G3bs-G3bd-G3bu,1465859,0.14112798202775959,0.06897100809857244,0.0
G3b-G3al-G3ay-G3bv-G3bw-G3bs-G3bd,1465872,0.04703448595340288,-0.09656372633408611,0.0
G3b-G3al-G3ay-G3fm-G3bv-G3bw,1465919,-0.18816246798116246,0.02759271823551318,0.0
proportion_explained,0,0.7949233288801588,0.20507667111984115,0.0
