sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
A4-A4ct-A4cs-A4q,1437265,-0.1643066871465748,0.024847205573504665,0.00022224464955358526,-0.004889422441168971,6.226741966093894e-05,-5.923208463124662e-07,-0.00014046581964952782,0.0,0.0,0.0,0.0,0.0,0.0
A4-A4j,1437377,-0.15446869800947857,0.006968887755792466,-0.00047739064702060876,0.012046363859704054,-8.887569802614061e-05,-1.1825630712852143e-05,-0.0003220376359700469,-0.0,0.0,0.0,0.0,0.0,0.0
A4-A4a-A4ah,1437416,-0.15959945537230427,-0.003990507395073283,-0.01123667016258177,-0.0004776733386718818,4.8373193603411825e-05,5.9805193980180776e-05,0.0018048059898851294,-0.0,0.0,0.0,0.0,0.0,0.0
A13/A4,1437533,0.07255398780202595,0.0012666195766663929,-0.0001481097267122536,-0.0008632490627011942,-0.0003058438855769231,-0.0005330510096738606,-0.00018868788008347232,-0.0,0.0,0.0,0.0,0.0,0.0
A4-A4.3-A4a-A4e,1437125,-0.16302961628458817,-0.008451427534851131,0.009181451578153279,-0.0009324291406299193,2.354623047552153e-05,3.60456291228069e-05,0.00145779647734709,-0.0,0.0,0.0,0.0,0.0,0.0
A4-A4a-A4.3-A4s-A4e,1437126,-0.16979470050025133,-0.01525423640375402,-0.007353158856595516,-0.0021369994919418437,-1.4725164697705209e-06,-4.868229708879599e-05,-0.0015728428334143827,0.0,0.0,0.0,0.0,0.0,0.0
A4,1437649,-0.14726453159920078,0.003743202135504268,-0.0004215882074014382,-0.0023915857725498907,0.00017759265042422377,0.00012743997824313734,-0.0006461497599520243,0.0,0.0,0.0,0.0,0.0,0.0
A4/A4.3-A4e-A4a-A4o-A4bg,1437180,-0.16272440748112285,-0.007864848734566905,0.01014865787192173,-0.0006725661652305429,1.718136847571984e-05,-3.757155750493955e-06,-0.0005020116052467634,0.0,0.0,0.0,0.0,0.0,0.0
A13-A1pt,1437467,0.2055202673322225,-0.00020812817662192073,1.1819119122224371e-05,2.3086173131764817e-05,-0.0017744636238880753,0.0033704460990290415,-4.052548364129348e-05,-0.0,0.0,0.0,0.0,0.0,0.0
A13-A1pu,1437471,0.2101754011750999,-0.0002659689817507012,1.9661728685291804e-05,0.00010541175976899343,0.003488067005028657,-0.00014465711681621788,2.9554603187765413e-05,0.0,0.0,0.0,0.0,0.0,0.0
A13-A1py,1437472,0.21199499484895237,-0.0002503215871542029,1.2755959762466983e-05,-2.4317593985690564e-05,-0.00804266732251912,-0.001277303494554562,2.439304566807739e-05,0.0,0.0,0.0,0.0,0.0,0.0
A13-A1pu-A1pv,1437474,0.21696876240350063,-0.0003264872602197392,2.5630923545306237e-05,0.00015736854345809538,0.006992099428745157,-0.0006478419471300026,4.370865050056287e-08,-0.0,0.0,0.0,0.0,0.0,0.0
A13,1437661,0.20397468283171932,-0.0002139889674754815,1.4695769569673236e-05,5.601267081786171e-05,-0.0005958042499382368,-0.0009260259277883985,9.612719321869943e-05,0.0,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.9956600738186443,0.0026139344316914617,0.0009045008853435219,0.00044633057182845724,0.00031792117296970966,3.586837331191992e-05,2.1370746210686656e-05,0.0,0.0,0.0,0.0,0.0,0.0
