sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38
R303,238933,-0.1288731395636679,-0.0030302161218158322,-0.013657468837727914,0.0006621490937027369,-0.001751329389364813,0.0003773632962292561,0.00045957560999723213,0.004647059477501192,-0.0024515839569635087,0.01363464978218935,-0.009007773748296886,0.00792381091715583,0.0005105218027521123,0.00045248099797087646,-0.0003537541526612595,0.00013905689667685403,0.00011625798241573223,0.0007082996429097125,0.00017268727870124146,-4.010843007174616e-05,8.630294210873507e-05,-1.1210099628431011e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R333,238963,-0.1280526214139885,-0.006933258710314862,-0.031449437885306825,-0.0006647650084823997,0.019954156778160474,-0.0018112244928846094,-0.000863763854726301,0.0010794773039376248,0.00012466242795077838,-0.0019844360588428733,-0.0009318611069829798,-0.002428832890190495,-0.0012498085288342323,-0.0006363320563342096,0.0056684404447905215,0.00036388204167423557,-0.0007862942274345854,0.0019499469745512463,0.0007160039554708884,0.00020907867460443107,2.5161853797322317e-05,3.927382741272465e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R334,238964,-0.10984043976468286,-0.00402563391132684,-0.020381622417344137,-0.0005389766038827012,0.023645245207917595,0.0061000964281669534,-0.0006346934113843182,0.001355940929060101,-0.0004061664515239124,-0.0024889522048043232,-0.005179083354546723,-0.0014838572547499044,-0.001559983302508819,-0.0003171158118538887,-0.003539822360259981,-0.000874422654306844,0.0026368961081490116,-0.0008395664545044597,0.0009937221644206863,0.0001621499522676878,6.637863913313695e-05,-2.5461061205343655e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R337,238967,-0.1475390410729642,-0.00983184924149854,-0.041980037019781966,-0.0009038336479505628,0.018475185136516206,-0.012746964430277228,-0.0011854960420774727,-0.0011786774543313583,0.0015129055979945147,-0.0034502700367570393,0.002762105063432636,0.002152824965753546,0.0022885610910958103,0.00043589644425807376,-0.00018306221425421932,-0.0007082662820750092,0.001911099206666859,-0.003016894900324766,-0.0007071019349151121,0.0005503895767479876,0.00017315214204733736,-1.8544488692869073e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R338,238968,-0.04954288743981166,0.005063915428282248,0.0130429987279108,-1.1490585651340164e-05,0.035321016174777675,-0.011851277304888507,-0.002613546525237782,0.005102602708393353,0.0014778963417346818,-0.0013809104280873,0.007519083677237816,0.005709968776061488,-0.001861361705460708,-0.0009946991649377565,0.0019518038598501835,-0.000540337092837804,0.0024582942849877996,-0.000385292269775183,-5.002756228867205e-05,-3.171639214874909e-05,-2.028736027276536e-05,9.86247264183482e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R343,238973,-0.14857796098405013,-0.0056989290293797765,-0.023610872623766075,0.0007591946180588068,-0.006762285878026136,-0.009771408971853614,0.0012922213847938464,-0.006598013934744928,-7.58768181221041e-05,0.006671614646315044,0.0039742326059809315,-0.002268524586378069,0.0029945396744537403,0.0008897750419314092,0.0003936738222801271,4.606313469723924e-05,-0.00042013818963915103,-0.0030739946195498503,-0.001099764273367535,-0.0007159519116392652,-0.0008260460893452435,0.00014294463215607777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R346,238976,-0.13128912762724945,-0.002984115201145911,-0.013659051198841345,0.0009775278507158532,-0.007855111051379314,-0.0014231366431156317,0.0011792545624226,-0.004022606940194521,-0.0002620517832798033,0.004775602187404077,0.005080324039126698,7.209933858969208e-05,-0.0010879773356667144,-9.704227296479092e-05,-0.004655169471731496,0.00010550158970272416,-0.00042812728577880317,0.0008703554960037373,-0.0017609266198487868,-0.00013788586526965212,0.0006799261921471219,-9.284664283310219e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R350,238980,-0.11282091369811552,-0.0005997815490725885,-0.0048582913772960345,0.0009072488153133541,-0.0026923387121576135,0.006371913602216817,0.0011004615587982033,-0.003052102950142029,-0.0006441765773956481,0.0033260721524529116,0.00011225163084326259,-0.0026016148428488176,0.001704754898443553,0.00029570271971962185,0.0035352637290599806,0.000889722004557612,-0.0028628169880804974,0.0001956435713933546,-0.002364735879508243,0.0019746187534619695,3.2177053141556545e-05,6.874160776075773e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R351,238981,-0.15355773167389705,-0.004555333442216252,-0.018361785816039075,0.0016386117509996844,-0.023668557069902688,-0.018471341648851815,0.002434348185153407,-0.015285394699180931,0.0019374251188367753,-0.010659653547967107,-0.0037989670787396453,0.0019353193404051119,0.0003781479905724034,8.88041382240285e-05,0.001204432858595746,-0.00031024960571661767,0.0012654294373473439,-0.00024709127300980217,7.427962409755382e-06,0.00017548689446609292,0.00018840767200431003,-1.475398796556359e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R355,238984,-0.10827331034547305,0.00037198441708586276,-0.0010110209320997694,0.0010503368469021877,-0.004713894723097014,0.006779513225980335,0.0011725627279108605,-0.003728651093485545,-0.00028287863406525876,-0.002431908746962355,-0.004482672443702681,-0.002801568289558806,0.0027830803228875143,0.0007660356748161961,0.0005834190466167888,-0.0006680947572231141,0.0036837370465649315,0.002355983132919072,-0.0013159664854956734,0.00013511767639237256,0.00022875266298986064,-9.014918440790387e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
