sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40
C3-C21-C3hj-C3an,871435,-0.45692726888835117,0.027574276325981445,-0.017043429340377655,-0.05352089177391457,0.035512894965819386,-0.0033124732437102636,0.034150756587271416,-0.030071211207959244,0.004230629001221663,-0.005311289050295823,-8.499665925765377e-17,-0.002678655638441059,-0.0011988188658080246,0.08886066712647198,-0.020459229260557044,0.07612155592718217,0.05581508077884105,-0.08610604400658882,-1.1098202477509998e-06,-0.016100718651061472,0.009010074338895554,-0.021459149920221764,0.0580553141572222,-2.638730108831915e-15,-0.046375817362304575,0.025770713111478234,-1.1429826435146648e-06,-0.05570798718892601,-0.013658153422862937,0.015085355132636013,-0.014440093501722226,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C3xs-C3yu-C21-C3zt,871438,-0.3969621634260354,-0.0037911815400816814,0.0061198854839618465,-0.03258387248107831,0.026546457023635707,0.1090470116392647,0.021447873351354677,0.21121218547212994,0.0023777597562049885,0.004021606155131204,9.852536174972549e-17,-0.01060996923372813,-0.0002953952242102379,-0.05271567517759395,-0.0014331469561277312,-0.10078326104033854,0.02533461768725738,-0.09846751709848701,1.894326355067239e-06,0.02251923315725115,-0.019185162135986127,-0.10516126782670414,-0.032196926780098126,1.62142626185042e-15,0.03650167304154796,-0.003681005279353202,3.180805530155533e-06,0.1025455768895651,0.029978431770977004,-0.036840798400671684,-0.00933281141782517,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C3hj-C21-C3xs-C3yu,871440,-0.4314027273144467,0.012445155519142662,-0.004309736536683551,-0.046348836364601555,0.038267280001902194,0.07903178198322064,0.07643388111930995,0.12626226025952175,0.004241671860548721,-0.00150265238977091,-9.482064645033603e-17,-0.007593003384095509,-0.0010439334473318319,0.028884660926741232,-0.0360366529499,-0.05967018808275843,0.03110292875404406,-0.128444402601781,2.957310636284922e-06,0.03461292618773078,-0.017704345924263894,-0.10309258204033306,0.058857780799428286,-2.142992648844173e-15,-0.028839430598237875,0.011430013174197038,6.361956381550841e-07,-0.04636383872073483,0.017130682444424658,0.0004440085354754316,0.00640929844878138,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C3ga,869982,-0.3924495168868037,0.028870207124680858,-0.017477483832338762,-0.037223578533566885,0.03773771621520996,0.014365894404668534,0.24236617740220945,-0.07379516101304001,-0.00023263025319840864,-0.010431533886364731,-2.870013411775974e-16,0.03628028915661302,-0.00023108314128463783,0.027725927968442927,0.007597975412591633,0.1294983668190608,-0.04480046654937569,0.11375522328372595,-1.3232023093160345e-06,-0.012422715138514919,-0.009214828073653166,-0.0073071341204648,-0.03304000855624168,1.3627375279609164e-15,0.024221241782007144,-0.002835652700847849,0.15253248994977936,0.008089275151563121,0.034696587578095614,-0.010535260475287118,0.0033538521681519863,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d-C42.2-C1-C3cg-C1b-C115k,869474,0.397846594594345,0.19695409190194932,0.16291062300390677,-0.28006765900555236,-0.03731001045314574,-0.11897887077411845,0.03020157007137118,0.049010838168438035,0.08991791600745666,-0.11276794094284527,-2.7189973837422377e-15,-0.20327469202211415,0.035171697677193,0.05057877447145145,0.06360610227797903,-0.0025069403851215775,-0.010372519067367409,0.010891858842863329,2.2243638935091626e-06,0.022324836898119725,0.04687753263645042,0.011702135039464405,0.06466936452037916,7.462340332771333e-15,0.13417627194301812,0.11488716163944573,-5.611463363121107e-07,-0.00730240213385709,-0.01009269475709855,-0.03249497562246356,-0.0011787207394216295,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C83a-C1dl-C1b-C1ds-C42.2,871552,0.4075697567342473,0.3137083269975995,0.034053520748525606,0.04171944019298236,0.014441955923566207,0.004254346325995278,-0.007965441292510216,0.013628186295113644,0.005355135339961845,-0.0202299707310062,-3.4926547975276737e-16,0.09379179503616158,0.015151662161204976,-0.0956227404817581,-0.2645992119930137,0.02792240731494525,0.17348213962954315,0.0636591863609647,7.228057664439524e-06,0.04874799873043962,0.06801160062337414,0.04050595771092405,0.03906914046878849,-3.1944771368022497e-15,-0.059950775555410396,0.03719258776282211,1.1605950474346171e-06,0.03527495825108954,0.027528647969244934,-0.011304714822714746,-0.00027260773019922955,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C3/C1b,870531,0.03532890486061589,0.4033174140765165,-0.11468533054083528,0.15671681358620745,0.008256071097601753,-0.019991196051244327,-0.0418807095485857,0.023643571605025504,0.02210812733336363,-0.05937980040002428,-1.3619593045355006e-15,0.13704979651417068,-0.005925384922190628,0.01932393314918658,0.07367886267545001,-0.01663137678986853,0.010577440862729019,0.008730056626635943,-3.883046405417312e-06,-0.02939665500839697,-0.04457847318532568,-0.02155100954091337,-0.021266829011379135,1.1074196295040828e-15,0.01876836933305494,0.022967075582030108,6.012332681397392e-07,0.029451377999443556,0.04449049776162438,0.03099128910955365,0.001516158731966308,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C16-C16b-C16d,871563,0.14016402015252408,-0.29805009332701293,0.21039361779380808,0.2925830355846605,-0.545384205129785,-0.14472288782590995,0.13230841670142607,0.030562171191988455,-0.0009561271246498756,0.009669288608144831,5.4721426525062764e-17,-0.03168789107275502,-0.0007070141178061226,0.07001025480680881,-0.03103668276728185,-0.012072376791330034,0.04056388296845452,-0.02214291076278872,-2.8267575329514144e-06,-0.03437586312463897,0.010272723766422567,0.02645509121906068,0.029656851198465284,-1.121252776141493e-15,-0.02257384396401646,0.008454745596554732,5.465813171301825e-07,0.012087664439347914,0.0016781402480325598,-0.008087065690622067,-0.0014695469903002521,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C11,872084,0.15560737995353507,-0.25002839862611853,0.1538943848673053,0.03172059575507175,0.00485281148328841,0.261139179006269,-0.0440328272643489,-0.21258200904309074,-0.13174527339481015,-0.3006560896708509,0.4999999999999923,-0.03875672311332625,-0.0011364792138493153,-0.0565471867219871,-0.027571146479698858,-0.008422463201660731,-0.017460638809384227,-0.019204624788024323,-6.297561791986553e-07,-0.006309635058311186,-0.007036731736555442,-0.012564936175458605,-0.005248039650829811,4.071460281324118e-16,0.007957894964284196,-0.002966963474287773,-3.7543398112789433e-08,-7.06573892038829e-06,0.001087723099625157,0.00444759429599879,6.17850948884934e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C3de-C3bb-C21ae-C3an-C3s-C21-C3dk,871064,-0.2793029932163487,-0.03764262277950064,0.02023642960987094,0.011702103984709064,-0.04505351093899377,-0.06328611063071975,-0.38197026242275445,0.003416061492027291,0.004559974200735139,0.0027164752140185137,1.135682165672067e-17,-0.01784385288986276,0.0002653420607853925,-0.03459346766055183,0.07735097184548245,0.25427243644615727,0.026042838486002483,-0.0645268934277654,1.0997479618101824e-05,0.1448087418901169,-0.0831311790825227,0.05014141624757994,0.017490812365456184,1.1510361130811535e-18,-0.004005241950893222,-0.0012102494519493346,5.283526430054213e-07,0.023362681559683813,0.011448246834747471,-0.007995929418379634,-0.00024114607561240325,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C3fc-C21-C3an-C3b-C3bb-C3s,871067,-0.38926192016174327,0.002842213596318138,-0.004659477046459229,-0.02058569405043577,-0.010020170898794433,-0.05318597686403671,-0.29593059158607476,-0.0005197262079154067,0.00070987641768915,0.008996513944080202,2.904661369928833e-16,-0.033301719196381245,0.0001376308288831027,0.008596924543890726,0.007729569505299067,0.012530016868579423,0.04523570225191087,-0.011188939530937306,-1.1168604384176887e-05,-0.1449325829891081,0.07896194346722545,-0.00022933621537113893,-0.012752447596101819,4.47434679324945e-16,0.004887511229918619,-0.01317693740864941,3.9105017858169877e-07,0.01031170269393755,-0.005681063456305318,-0.016947014897108,0.059239932006069786,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C21-C3xx-C3cl,871071,-0.44240807503735774,0.02871774092972221,-0.017728673663440248,-0.05148799418282781,0.039089139976134765,0.005754509042378207,0.11410951172008042,-0.04224443288232153,0.0032358856108272026,-0.007884288067487795,-1.7435858135548174e-16,0.011937848885716192,-0.001170962900767641,0.08958768628534192,-0.035624156756356856,0.008512528256737569,0.0011929538308731366,0.007521064978351766,1.000035887581517e-06,0.013461738957337604,-0.010618101763363254,0.015416476859102716,0.004416136900531881,-4.0617428075414823e-16,-0.01028677091254385,0.018855890278937096,-1.94415500922853e-06,0.09742415014265138,-0.12688548155154356,0.037661962672417,0.0002384216276745186,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C41/C1-C41b-C1b-C41g-C39,871072,0.4220955628762385,0.0008657308497547984,-0.42712391703265457,-0.012367805601195396,0.011450533304692584,-0.030015896927884377,0.027673850274117645,-0.0021426353318953445,0.0721274861400025,0.012928263413486667,5.364331525612949e-16,-0.11033647609278703,0.005703166285080782,-0.06080194687815155,-0.07966336323362683,0.005103551013180361,-0.08473699092225957,-0.06286994516670089,-4.8327227315561626e-06,-0.05432029171271108,-0.04387791110473532,0.04365750132093533,0.03167442749406069,-1.7525738795168841e-15,-0.03874353588377101,-0.014959682259840536,5.871364821131404e-07,0.009934684800869056,0.0024849934162608574,-0.005290914248075161,-0.0014621806299999545,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1b/C1/C3-C1u,869025,0.21749585495965812,0.303251590263439,-0.10403273404874255,0.12286569467686238,-0.010365783261256202,-0.052235935358172884,-0.03909403189875886,0.06239982938748018,0.10172631772650229,-0.18787592093151434,-3.864605572336363e-15,0.2705977940990384,-0.005852881053863072,-0.024453832547450864,0.044901567242533934,0.007523848187823161,-0.13192666656308477,-0.03877092587555959,5.71857739639562e-06,0.04403463902722265,0.08773459581357045,-0.008608114921985427,-0.016804427952165617,-8.723746433059514e-16,-0.014581956095773372,-0.012532424261922477,-1.0664670239523289e-06,-0.04067917870630798,-0.0523693761031932,-0.032775924623650005,-0.0017367932728386173,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42a/C1d/C42.2-C1mt-C1-C1b-C3cg-C1au,873137,0.3861504687376806,0.16350230171532268,0.16631063308162816,-0.29449971941750447,-0.040911903235644455,-0.12668124379868353,0.026060772312331903,0.06014460402254517,0.11454859823360684,-0.15214110020275007,-3.3150379398544247e-15,-0.1869070628353275,0.040314945727095874,0.08393516906987206,0.0778928096911026,-0.005611342642458168,0.07344228709881127,0.05505126550736493,1.5934601785109456e-06,0.021526202759330253,-0.031549390247594164,-0.04573149009116454,-0.11190534104285534,-7.30716980622659e-15,-0.12975126002228626,-0.058650853539805974,-2.7069070575212567e-07,-0.009913283545659424,-0.011689687089351364,-0.019352893382096958,-0.0010210769047850172,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C21-C3hj,870080,-0.4531476818230086,0.02983654580537301,-0.018552374022479085,-0.05637465674147109,0.043158098534623546,0.010122147060218644,0.12807709455442426,-0.0389699996716311,0.0038806206062520204,-0.008909546117331172,-2.3270982439885133e-16,0.01313212204952163,-0.0014686699384844281,0.10915106632344396,-0.04731882216425225,0.008188565396809592,0.014070092707591117,-0.02621653240966048,1.895767649912016e-06,0.023605022420685046,-0.014775395543258265,-0.017402398343578884,0.02688864025840326,-1.921635076822559e-15,-0.03139521459642475,0.04085465592064159,-1.190966965235816e-06,-0.06054639122574226,0.008526108567254224,0.025106465862026528,0.01355937563223517,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C21/C3,870082,-0.41299681435377894,0.021895255485517427,-0.013823721199195574,-0.038950106905673756,0.02600023126117116,0.00046439933316967934,0.03774874864170133,-0.014787258269264695,0.0017220393005360655,-0.00271567953987184,-2.012327586090616e-16,0.00011274555269551818,-0.0004998359399283945,0.021910148220070744,-0.008493008570292724,-0.1492228403741009,0.06012897196419347,-0.11631836144715774,6.018717027948674e-06,0.06845695277138189,0.008258203284424795,0.1678845208846095,-0.13266052711635298,3.361830999154585e-15,0.04803717729199649,-0.0009549818347882237,1.586824565723063e-07,-0.027968577783616912,0.015455971624658187,0.008010123946671556,0.0004543715406848832,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42.2-C120b-C120c-C120d-C42c-C42d,869064,0.24269263485880924,-0.134378723418743,0.28181101514908125,-0.35422550639522365,-0.05992916395397363,-0.016838514701050997,-0.005411487270584555,-0.06156355210111535,-0.15258073531374738,0.20656898914112407,4.751579010615561e-15,0.14773674181114307,-0.40456026594069516,-0.03048358840968256,0.0017894638879363339,-0.004300342840778988,-0.033699831518080536,-0.022927265086494193,-4.1726419498115975e-07,-0.004187375716699593,-0.0019089818985490233,-0.003067893483261523,-0.008066815187412776,-6.603817784025547e-16,-0.013358708448405601,0.0032275393943455946,-9.791473827050892e-08,-0.0026265781654794236,-0.00615030533499479,-0.02197949052422252,-0.0012782933160277463,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3b-C3-C21-C3ag-C3bb,869067,-0.31141223588132827,-0.028639907991676095,0.014228577511002961,-0.00235827948961364,-0.031103078123426577,-0.05184672510020854,-0.3317831861299519,0.009615721615947145,0.005000247188428743,0.0013445875510683589,5.567175956545231e-17,-0.01416159077115394,-0.0008789708017971334,0.06744327509599791,-0.06706360192492967,-0.1959253006001166,-0.12573129778151548,0.1777059151309124,6.8020946361784e-06,0.094193691452703,-0.06504273910763117,-0.0014484413993562648,0.06627098520976943,-1.3072353387089112e-15,-0.0212137839141152,-0.00922637834854398,4.0886260657677835e-07,-0.007605645571363526,0.007854305445637273,-0.0008316302509099743,0.0041135914676125465,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C41-C1-C41b,871645,0.002161755843037957,0.15012013510828928,-0.3836183220612785,0.04777995310649566,-0.0037148153298362783,-0.06058276596082254,0.00023469065906955337,-0.009224228590154118,-0.04870289900239431,0.07533303322360128,1.7305357428225257e-15,-0.12128527196372178,0.0013746001782839609,-0.1521054582474541,-0.035553205174902174,0.00566787761274835,-0.10206904458341999,-0.019688443518317493,-2.1070892581871154e-06,-0.02364049683159413,-0.027689769098662283,-0.019338593863600134,-0.04307209984066178,-8.964854738379134e-17,-0.0006510385053725231,0.02612694485230794,-4.214883153515296e-07,-0.008349892691927412,-0.0022120290522607802,0.014369004636953227,0.0007244291660579623,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C1-C42.2-C3gl-C3gm-C1dl,870110,-0.011389433440020429,0.3638907583829452,0.02254035927917967,-0.0009811494267536083,-0.016837341489056724,-0.04599527322944098,-0.020034736570860214,-0.02037806383853833,-0.063997754604842,0.0967406052706877,2.1315326994200283e-15,-0.03404725422045452,0.01256943402168238,-0.18589169519060894,-0.10395657425756856,0.013725337344776628,0.026468278189715824,0.05729272132822366,4.962606557725069e-06,0.047806646739390404,0.028171533393653712,-0.07576175613513386,-0.07411028102830806,2.5851688181519162e-15,0.056830993281335375,-0.002128572992953537,-1.6421365659571378e-06,-0.04443016914938296,-0.033821481275402035,0.020747661955748214,0.0010358240461801444,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C16/C3-C16b,870119,-0.1172197644800751,-0.15309573021517284,0.12411187430487204,0.2681662443408172,-0.4941731142933438,-0.1880609804558819,0.07437693160307104,0.032845056285459154,0.0017616277352053046,0.0010663089862119391,-1.4543590239000063e-17,-0.0016741110304190642,-0.00015407268578419486,-0.05646421099443115,0.0020029455418332275,0.002299528223285633,-0.04055807248548231,0.002079397315153805,1.7641971423526647e-06,0.022641472441915184,-0.014435531737047667,-0.03422469083128832,-0.030631758088578535,1.3827693349411856e-15,0.02719859415222324,-0.0105236360061396,-5.546807095912891e-07,-0.011639121735960286,-0.0005795301844233837,0.012579239019708185,0.0015815128676526888,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C21-C3b,869099,-0.4605365701211693,0.028453275295602237,-0.017853347273289355,-0.05533546096415081,0.0373530576508565,-0.005718433337611787,0.05127471952027534,-0.04516687970953187,0.004093627661851839,-0.006617648857126883,-2.253334921614958e-16,0.003638848469901315,-0.0013940507229539792,0.11702973672236737,-0.058462955881239724,-0.05282328122742777,-0.030843104203359173,0.087927706600175,-3.5359003264600943e-06,-0.04305681971767743,0.018302070705039374,0.051154087640131525,0.0011758922587329355,3.9343370152052834e-17,-0.00307809959341064,-0.008289854596923343,-2.848801602080703e-07,0.006608631853527728,0.01827471266765557,-0.02203459876199116,-0.014973505251249835,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1-C1c-C1b-C72k-C42.2-C1br-C1cb,870137,0.4227448290059851,0.34058328794683046,0.031634480490808,0.10096182186219553,0.027146834387668406,0.05020958316267163,-0.016407433000292307,-0.0032716769217231824,-0.03146928360039937,0.025798506973518653,3.83876763955846e-16,0.09092826252181274,0.0035206703809549838,0.0760679793427089,-0.02647162788702135,-0.014064296566888233,0.10835368544474651,0.004846561482621853,-1.3445426854808918e-05,-0.09709944211784204,-0.20317036012715076,0.008038267511676413,0.018885330804876786,4.382797372304283e-15,0.07760779501011547,-0.04018427703056482,-9.661939099195553e-07,-0.031846869895367884,-0.03218510008481073,-0.020833179403038294,-0.0005431267897560016,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
