sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,species_name,collection_latitude,collection_longitude,collection_date,collection_depth,collection_site,collection_batch
CR-33,CR-33_S44_L001_R1_001.fastq.gz,CR-33_S44_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.94844437,-80.46238708,20210702,50,Conch,contemporary
CR-56,CR-56_S52_L001_R1_001.fastq.gz,CR-56_S52_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.94844437,-80.46238708,20210702,55,Conch,contemporary
CR-47,CR-47_S54_L001_R1_001.fastq.gz,CR-47_S54_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.94844437,-80.46238708,20210702,62,Conch,contemporary
CR-48,CR-48_S55_L001_R1_001.fastq.gz,CR-48_S55_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.94844437,-80.46238708,20210702,61,Conch,contemporary
CR-49,CR-49_S56_L001_R1_001.fastq.gz,CR-49_S56_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.94844437,-80.46238708,20210702,64,Conch,contemporary
CR-53,CR-53_S60_L001_R1_001.fastq.gz,CR-53_S60_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.94844437,-80.46238708,20210702,57,Conch,contemporary
KL-344,KL-344_S62_L001_R1_001.fastq.gz,KL-344_S62_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20020926,11,Cheeca,historical
KL-345,KL-345_S63_L001_R1_001.fastq.gz,KL-345_S63_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20020926,11,Cheeca,historical
KL-360,KL-360_S77_L001_R1_001.fastq.gz,KL-360_S77_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20020926,11,Cheeca,historical
KL-19,KL-19_S85_L001_R1_001.fastq.gz,KL-19_S85_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,25.11901093,-80.30082703,20010621,9.8,Little Grecian,historical
KL-CP-3,KL-CP-3_S99_L001_R1_001.fastq.gz,KL-CP-3_S99_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20201012,8,Cheeca,contemporary
KL-CP-23,KL-CP-23_S108_L001_R1_001.fastq.gz,KL-CP-23_S108_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20201012,8,Cheeca,contemporary
KL-CP-17,KL-CP-17_S113_L001_R1_001.fastq.gz,KL-CP-17_S113_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20201012,8,Cheeca,contemporary
