sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,species_name,collection_latitude,collection_longitude,collection_date,collection_depth,collection_site,collection_batch
Tr-22,Tr-22_S469_L001_R1_001.fastq.gz,Tr-22_S469_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,24.93535233,-80.54960632,20210702,18,Tavernier Rocks,contemporary
Tr-24,Tr-24_S471_L001_R1_001.fastq.gz,Tr-24_S471_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,24.93535233,-80.54960632,20210702,18,Tavernier Rocks,contemporary
CR-9,CR-9_S20_L001_R1_001.fastq.gz,CR-9_S20_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,M.cavernosa,24.94844437,-80.46238708,20210702,56,Conch,contemporary
CR-20,CR-20_S31_L001_R1_001.fastq.gz,CR-20_S31_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,M.cavernosa,24.94844437,-80.46238708,20210702,51,Conch,contemporary
CR-43,CR-43_S39_L001_R1_001.fastq.gz,CR-43_S39_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,M.cavernosa,24.94844437,-80.46238708,20210702,65,Conch,contemporary
CR-36,CR-36_S46_L001_R1_001.fastq.gz,CR-36_S46_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,M.cavernosa,24.94844437,-80.46238708,20210702,53,Conch,contemporary
CR-54,CR-54_S50_L001_R1_001.fastq.gz,CR-54_S50_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,M.cavernosa,24.94844437,-80.46238708,20210702,55,Conch,contemporary
CR-50,CR-50_S57_L001_R1_001.fastq.gz,CR-50_S57_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,M.cavernosa,24.94844437,-80.46238708,20210702,64,Conch,contemporary
KL-CP-44,KL-CP-44_S139_L001_R1_001.fastq.gz,KL-CP-44_S139_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Montastraeidae,Montastraea,cavernosa,M.cavernosa,24.90399933,-80.61685944,20201012,15,Cheeca,contemporary
KL-CP-90,KL-CP-90_S183_L001_R1_001.fastq.gz,KL-CP-90_S183_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Pseudodiploria,clivosa,P.clivosa ,24.90399933,-80.61685944,20201012,10,Cheeca,contemporary
KL-415,KL-415_S194_L001_R1_001.fastq.gz,KL-415_S194_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Pseudodiploria,clivosa,P.clivosa ,24.98698044,-80.41486359,20030522,23,Pickles,historical
KL-702,KL-702_S197_L001_R1_001.fastq.gz,KL-702_S197_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Pseudodiploria,clivosa,P.clivosa ,24.90399933,-80.61685944,20030930,15,Cheeca,historical
Tr-28,Tr-28_S274_L001_R1_001.fastq.gz,Tr-28_S274_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Pseudodiploria,clivosa,P.clivosa ,24.93535233,-80.54960632,20210702,19,Tavernier Rocks,contemporary
Tri-50,Tri-50_S427_L001_R1_001.fastq.gz,Tri-50_S427_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Pseudodiploria,clivosa,P.clivosa ,24.93535233,-80.54960632,20210702,18,Tavernier Rocks,contemporary
Tri-55,Tri-55_S443_L001_R1_001.fastq.gz,Tri-55_S443_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Pseudodiploria,clivosa,P.clivosa ,24.93535233,-80.54960632,20210702,17,Tavernier Rocks,contemporary
KL-587,KL-587_S208_L001_R1_001.fastq.gz,KL-587_S208_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Anthoathecata,Milleporidae,Millepora,complanata,M.complanata,24.98698044,-80.41486359,20030522,24,Pickles,historical
KL-413,KL-413_S265_L001_R1_001.fastq.gz,KL-413_S265_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Anthoathecata,Milleporidae,Millepora,complanata,M.complanata,24.98698044,-80.41486359,20030522,22,Pickles,historical
KL-PR-10,KL-PR-10_S382_L001_R1_001.fastq.gz,KL-PR-10_S382_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Anthoathecata,Milleporidae,Millepora,complanata,M.complanata,24.98698044,-80.41486359,20201012,22,Pickles,contemporary
CR-12,CR-12_S23_L001_R1_001.fastq.gz,CR-12_S23_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Madracis,decactis,M.dectactis,24.94844437,-80.46238708,20210702,54,Conch,contemporary
CR-13,CR-13_S24_L001_R1_001.fastq.gz,CR-13_S24_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Madracis,decactis,M.dectactis,24.94844437,-80.46238708,20210702,53,Conch,contemporary
KL-PR-1,KL-PR-1_S184_L001_R1_001.fastq.gz,KL-PR-1_S184_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Madracis,decactis,M.dectactis,24.98698044,-80.41486359,20201012,23,Pickles,contemporary
KL-416,KL-416_S206_L001_R1_001.fastq.gz,KL-416_S206_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Madracis,decactis,M.dectactis,24.98698044,-80.41486359,20030522,20,Pickles,historical
CR-27,CR-27_S27_L001_R1_001.fastq.gz,CR-27_S27_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Meandrinidae,Eusmilia,fastigiata,E.fastigiata,24.94844437,-80.46238708,20210702,54,Conch,contemporary
KL-100,KL-100_S310_L001_R1_001.fastq.gz,KL-100_S310_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Meandrinidae,Eusmilia,fastigiata,E.fastigiata,24.94844437,-80.46238708,20010622,15.7,Conch,historical
Tr-30,Tr-30_S5_L001_R1_001.fastq.gz,Tr-30_S5_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.93535233,-80.54960632,20210702,11,Tavernier Rocks,contemporary
Tr-33,Tr-33_S9_L001_R1_001.fastq.gz,Tr-33_S9_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.93535233,-80.54960632,20210702,8,Tavernier Rocks,contemporary
Tr-35,Tr-35_S11_L001_R1_001.fastq.gz,Tr-35_S11_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.93535233,-80.54960632,20210702,11,Tavernier Rocks,contemporary
CR-14,CR-14_S14_L001_R1_001.fastq.gz,CR-14_S14_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.94844437,-80.46238708,20210702,54,Conch,contemporary
CR-15,CR-15_S15_L001_R1_001.fastq.gz,CR-15_S15_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.94844437,-80.46238708,20210702,52,Conch,contemporary
CR-6,CR-6_S17_L001_R1_001.fastq.gz,CR-6_S17_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.94844437,-80.46238708,20210702,52,Conch,contemporary
CR-8,CR-8_S19_L001_R1_001.fastq.gz,CR-8_S19_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.94844437,-80.46238708,20210702,54,Conch,contemporary
CR-10,CR-10_S21_L001_R1_001.fastq.gz,CR-10_S21_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.94844437,-80.46238708,20210702,55,Conch,contemporary
CR-11,CR-11_S22_L001_R1_001.fastq.gz,CR-11_S22_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.94844437,-80.46238708,20210702,54,Conch,contemporary
CR-23,CR-23_S34_L001_R1_001.fastq.gz,CR-23_S34_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.94844437,-80.46238708,20210702,54,Conch,contemporary
CR-24,CR-24_S35_L001_R1_001.fastq.gz,CR-24_S35_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.94844437,-80.46238708,20210702,54,Conch,contemporary
CR-45,CR-45_S49_L001_R1_001.fastq.gz,CR-45_S49_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.94844437,-80.46238708,20210702,65,Conch,contemporary
CR-51,CR-51_S58_L001_R1_001.fastq.gz,CR-51_S58_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.94844437,-80.46238708,20210702,63,Conch,contemporary
CR-57,CR-57_S61_L001_R1_001.fastq.gz,CR-57_S61_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.94844437,-80.46238708,20210702,56,Conch,contemporary
CR-58,CR-58_S65_L001_R1_001.fastq.gz,CR-58_S65_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.94844437,-80.46238708,20210702,56,Conch,contemporary
KL-CP-10,KL-CP-10_S95_L001_R1_001.fastq.gz,KL-CP-10_S95_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20201012,12,Cheeca,contemporary
KL-CP-2,KL-CP-2_S98_L001_R1_001.fastq.gz,KL-CP-2_S98_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20201012,11,Cheeca,contemporary
KL-CP-5,KL-CP-5_S101_L001_R1_001.fastq.gz,KL-CP-5_S101_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20201012,11,Cheeca,contemporary
KL-CP-8,KL-CP-8_S104_L001_R1_001.fastq.gz,KL-CP-8_S104_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20201012,12,Cheeca,contemporary
KL-CP-22,KL-CP-22_S107_L001_R1_001.fastq.gz,KL-CP-22_S107_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20201012,8,Cheeca,contemporary
KL-CP-21,KL-CP-21_S117_L001_R1_001.fastq.gz,KL-CP-21_S117_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20201012,9,Cheeca,contemporary
KL-CP-37,KL-CP-37_S121_L001_R1_001.fastq.gz,KL-CP-37_S121_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20201012,11,Cheeca,contemporary
KL-CP-29,KL-CP-29_S125_L001_R1_001.fastq.gz,KL-CP-29_S125_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20201012,8,Cheeca,contemporary
KL-CP-43,KL-CP-43_S138_L001_R1_001.fastq.gz,KL-CP-43_S138_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20201012,9,Cheeca,contemporary
KL-CP-50,KL-CP-50_S142_L001_R1_001.fastq.gz,KL-CP-50_S142_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20201012,8,Cheeca,contemporary
KL-CP-59,KL-CP-59_S143_L001_R1_001.fastq.gz,KL-CP-59_S143_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20201012,12,Cheeca,contemporary
KL-CP-53,KL-CP-53_S148_L001_R1_001.fastq.gz,KL-CP-53_S148_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20201012,9,Cheeca,contemporary
KL-CP-55,KL-CP-55_S150_L001_R1_001.fastq.gz,KL-CP-55_S150_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20201012,9,Cheeca,contemporary
KL-CP-62,KL-CP-62_S154_L001_R1_001.fastq.gz,KL-CP-62_S154_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20201012,11,Cheeca,contemporary
KL-CP-74,KL-CP-74_S157_L001_R1_001.fastq.gz,KL-CP-74_S157_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20201012,13,Cheeca,contemporary
KL-CP-67,KL-CP-67_S161_L001_R1_001.fastq.gz,KL-CP-67_S161_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20201012,9,Cheeca,contemporary
KL-CP-70,KL-CP-70_S164_L001_R1_001.fastq.gz,KL-CP-70_S164_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20201012,11,Cheeca,contemporary
KL-CP-75,KL-CP-75_S166_L001_R1_001.fastq.gz,KL-CP-75_S166_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20201012,10,Cheeca,contemporary
KL-CP-77,KL-CP-77_S171_L001_R1_001.fastq.gz,KL-CP-77_S171_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20201012,10,Cheeca,contemporary
KL-PR-7,KL-PR-7_S180_L001_R1_001.fastq.gz,KL-PR-7_S180_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.98698044,-80.41486359,20201012,23,Pickles,contemporary
KL-PR-2,KL-PR-2_S185_L001_R1_001.fastq.gz,KL-PR-2_S185_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.98698044,-80.41486359,20201012,19,Pickles,contemporary
KL-PR-3,KL-PR-3_S186_L001_R1_001.fastq.gz,KL-PR-3_S186_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.98698044,-80.41486359,20201012,24,Pickles,contemporary
KL-PR-5,KL-PR-5_S188_L001_R1_001.fastq.gz,KL-PR-5_S188_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.98698044,-80.41486359,20201012,16,Pickles,contemporary
KL-423,KL-423_S195_L001_R1_001.fastq.gz,KL-423_S195_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.98698044,-80.41486359,20030522,19,Pickles,historical
KL-424,KL-424_S207_L001_R1_001.fastq.gz,KL-424_S207_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.98698044,-80.41486359,20030522,24,Pickles,historical
KL-400,KL-400_S217_L001_R1_001.fastq.gz,KL-400_S217_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20020926,11,Cheeca,historical
KL-403,KL-403_S229_L001_R1_001.fastq.gz,KL-403_S229_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20020926,11,Cheeca,historical
KL-590,KL-590_S232_L001_R1_001.fastq.gz,KL-590_S232_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,25.00673294,-80.5297699,20030522,21,"Tavernier Creek, down from fuel docks on point, end of transect",historical
KL-406,KL-406_S241_L001_R1_001.fastq.gz,KL-406_S241_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.90399933,-80.61685944,20020926,11,Cheeca,historical
KL-421,KL-421_S266_L001_R1_001.fastq.gz,KL-421_S266_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.98698044,-80.41486359,20030522,23,Pickles,historical
KL-422,KL-422_S277_L001_R1_001.fastq.gz,KL-422_S277_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.98698044,-80.41486359,20030522,16,Pickles,historical
KL-91,KL-91_S312_L001_R1_001.fastq.gz,KL-91_S312_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.94844437,-80.46238708,20010622,16.5,Conch,historical
KL-92,KL-92_S313_L001_R1_001.fastq.gz,KL-92_S313_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.94844437,-80.46238708,20010622,15.9,Conch,historical
KL-93,KL-93_S314_L001_R1_001.fastq.gz,KL-93_S314_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.94844437,-80.46238708,20010622,15.9,Conch,historical
KL-96,KL-96_S317_L001_R1_001.fastq.gz,KL-96_S317_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.94844437,-80.46238708,20010622,15.8,Conch,historical
KL-105,KL-105_S325_L001_R1_001.fastq.gz,KL-105_S325_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.94844437,-80.46238708,20010622,15.5,Conch,historical
KL-126,KL-126_S332_L001_R1_001.fastq.gz,KL-126_S332_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.94844437,-80.46238708,20010622,15.2,Conch,historical
KL-117,KL-117_S335_L001_R1_001.fastq.gz,KL-117_S335_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.94844437,-80.46238708,20010622,16.5,Conch,historical
KL-168,KL-168_S345_L001_R1_001.fastq.gz,KL-168_S345_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,25.00873947,-80.44978333,20010622,2.4,Triangles,historical
KL-160,KL-160_S349_L001_R1_001.fastq.gz,KL-160_S349_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,25.00873947,-80.44978333,20010622,1.9,Triangles,historical
KL-163,KL-163_S352_L001_R1_001.fastq.gz,KL-163_S352_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,25.00873947,-80.44978333,20010622,1.9,Triangles,historical
KL-172,KL-172_S359_L001_R1_001.fastq.gz,KL-172_S359_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,25.00873947,-80.44978333,20010622,2.4,Triangles,historical
KL-173,KL-173_S360_L001_R1_001.fastq.gz,KL-173_S360_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,25.00873947,-80.44978333,20010622,2.5,Triangles,historical
KL-177,KL-177_S363_L001_R1_001.fastq.gz,KL-177_S363_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,25.00873947,-80.44978333,20010622,2.4,Triangles,historical
KL-232,KL-232_S365_L001_R1_001.fastq.gz,KL-232_S365_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.93535233,-80.54960632,20010623,3.3,Tavernier Rocks,historical
KL-233,KL-233_S366_L001_R1_001.fastq.gz,KL-233_S366_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.93535233,-80.54960632,20010623,2.5,Tavernier Rocks,historical
KL-253,KL-253_S368_L001_R1_001.fastq.gz,KL-253_S368_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.93535233,-80.54960632,20010623,3.3,Tavernier Rocks,historical
KL-254,KL-254_S369_L001_R1_001.fastq.gz,KL-254_S369_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.93535233,-80.54960632,20010623,3.5,Tavernier Rocks,historical
KL-252,KL-252_S377_L001_R1_001.fastq.gz,KL-252_S377_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.93535233,-80.54960632,20010623,3.4,Tavernier Rocks,historical
Tri-16,Tri-16_S393_L001_R1_001.fastq.gz,Tri-16_S393_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,25.00873947,-80.44978333,20210702,8,Triangles,contemporary
Tri-7,Tri-7_S395_L001_R1_001.fastq.gz,Tri-7_S395_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,25.00873947,-80.44978333,20210702,8,Triangles,contemporary
Tri-11,Tri-11_S399_L001_R1_001.fastq.gz,Tri-11_S399_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,25.00873947,-80.44978333,20210702,10,Triangles,contemporary
Tri-17,Tri-17_S402_L001_R1_001.fastq.gz,Tri-17_S402_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,25.00873947,-80.44978333,20210702,8,Triangles,contemporary
Tri-18,Tri-18_S406_L001_R1_001.fastq.gz,Tri-18_S406_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,25.00873947,-80.44978333,20210702,10,Triangles,contemporary
Tri-40,Tri-40_S417_L001_R1_001.fastq.gz,Tri-40_S417_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,25.00873947,-80.44978333,20210702,9,Triangles,contemporary
Tri-31,Tri-31_S419_L001_R1_001.fastq.gz,Tri-31_S419_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,25.00873947,-80.44978333,20210702,8,Triangles,contemporary
Tri-37,Tri-37_S425_L001_R1_001.fastq.gz,Tri-37_S425_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,25.00873947,-80.44978333,20210702,8,Triangles,contemporary
Tr-2,Tr-2_S439_L001_R1_001.fastq.gz,Tr-2_S439_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.93535233,-80.54960632,20210702,11,Tavernier Rocks,contemporary
Tr-3,Tr-3_S440_L001_R1_001.fastq.gz,Tr-3_S440_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,faveolata,O.faveolata,24.93535233,-80.54960632,20210702,11,Tavernier Rocks,contemporary
KL-156,KL-156_S334_L001_R1_001.fastq.gz,KL-156_S334_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,hyades,S.hyades,25.00873947,-80.44978333,20010622,2.6,Triangles,historical
Tri-1,Tri-1_S389_L001_R1_001.fastq.gz,Tri-1_S389_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,hyades,S.hyades,25.00873947,-80.44978333,20210702,9,Triangles,contemporary
CR-4,CR-4_S3_L001_R1_001.fastq.gz,CR-4_S3_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Astrocoeniidae,Stephanocoenia,intersepta,S.intersepta,24.94844437,-80.46238708,20210702,54,Conch,contemporary
CR-7,CR-7_S18_L001_R1_001.fastq.gz,CR-7_S18_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Astrocoeniidae,Stephanocoenia,intersepta,S.intersepta,24.94844437,-80.46238708,20210702,55,Conch,contemporary
